t_sec,force_x,force_y,force_z,torque_x,torque_y,torque_z,imputed,trial_id,smoothed_sigma_s
3.236,-2.787606075647325e-159,6.504390337470443e-190,-1.8605278138277503e-36,-2.0486085528962218e-153,6.330125796898828e+116,7.22211647402189e-119,0,pressure_servo_20250708_145013.db3_export,0.05
3.286,1.7207476907964041e-84,2.9150655084653844e-189,-8.338307168291802e-36,-1.2425438970810886e-153,3.839415375657006e+116,4.380435069509975e-119,0,pressure_servo_20250708_145013.db3_export,0.05
3.336,2.096299835102164e-83,-9.692391353368065e-182,-1.3747544389994048e-35,-2.7724901874715743e-154,8.566893676466916e+115,9.774071785795589e-120,0,pressure_servo_20250708_145013.db3_export,0.05
3.386,9.394964059128857e-83,-1.1807750469074006e-180,-8.338307168291802e-36,-2.2757985322337706e-155,7.03213455643874e+114,8.023046690869187e-121,0,pressure_servo_20250708_145013.db3_export,0.05
3.436,1.5489677081748962e-82,-5.291775842143233e-180,-1.8605278138277503e-36,-1.467710380052204e-145,-4.354755657441628e-117,-1.0034268208696799e-193,0,pressure_servo_20250708_145013.db3_export,0.05
3.486,9.394964059128854e-83,-8.723707003932517e-180,-1.527214230377763e-37,-1.7880372841047776e-144,-1.328704731980301e-130,-9.632234688868704e-201,0,pressure_servo_20250708_145013.db3_export,0.05
3.536,2.0962998351021275e-83,-5.2869095314940985e-180,-1.2104301042867412e-97,-8.01342715352934e-144,-2.190663754095835e-130,-1.3521750295800117e-199,0,pressure_servo_20250708_145013.db3_export,0.05
3.586,1.7207476907947726e-84,-1.1726021673081994e-180,3.437911068069326e-53,-1.3211907799229801e-143,-1.328704731980301e-130,-6.099907796929637e-199,0,pressure_servo_20250708_145013.db3_export,0.05
3.636,-2.689640302566226e-96,-9.196681451667917e-182,4.188233082419021e-52,-8.01342715352934e-144,-2.964740996367411e-131,-1.0060321262976456e-198,0,pressure_servo_20250708_145013.db3_export,0.05
3.686,-1.6313493045862792e-96,1.106079369927834e-183,1.8770358429505623e-51,-1.78803728410493e-144,-2.4336076060703527e-132,-6.102005068025023e-199,0,pressure_servo_20250708_145013.db3_export,0.05
3.736,-3.640032315023965e-97,1.1055861007720564e-148,3.0947089201391375e-51,-1.4677103800707892e-145,6.202007925595674e-32,2.529975003353595e-169,0,pressure_servo_20250708_145013.db3_export,0.05
3.786,-2.987920475696893e-98,1.346879599569328e-147,1.8770358429505623e-51,-8.329322935243993e-156,7.555592409780438e-31,3.0821405199085924e-168,0,pressure_servo_20250708_145013.db3_export,0.05
3.836,1.1311409328392924e-158,6.036265662821203e-147,4.188233082419021e-52,-1.37327318938672e-155,3.3861815922842226e-30,1.3813195481320418e-167,0,pressure_servo_20250708_145013.db3_export,0.05
3.886,9.284970191554888e-160,9.951804448376649e-147,3.437911068069326e-53,-8.329322935243993e-156,5.5828696176522274e-30,2.277410920639187e-167,0,pressure_servo_20250708_145013.db3_export,0.05
3.936,7.0588077968301615e-71,6.034662133201709e-147,-2.593682227476005e-203,-1.8585231604689822e-156,5.543607827195675e+20,1.3813195481320418e-167,0,pressure_servo_20250708_145013.db3_export,0.05
3.986,8.599388335465005e-70,1.3441865003445825e-147,-4.2747735423393754e-203,-1.5255687106958037e-157,6.753496887531983e+21,3.082140519908596e-168,0,pressure_servo_20250708_145013.db3_export,0.05
