t_sec,data_0,data_1,data_2,imputed,trial_id,smoothed_sigma_s
3.236,667.6070175913912,665.4256481961404,207.9823970413265,0,pressure_servo_20250708_145013.db3_export,0.05
3.286,898.4703269036352,895.8934262719406,277.74763007610136,1,pressure_servo_20250708_145013.db3_export,0.05
3.336,949.8572756274287,947.4274742184592,291.19657614609923,0,pressure_servo_20250708_145013.db3_export,0.05
3.386,954.0,951.5,291.25148671589164,1,pressure_servo_20250708_145013.db3_export,0.05
3.436,953.9124881513447,951.35558870484,290.92800381995806,0,pressure_servo_20250708_145013.db3_export,0.05
3.486,953.7657179197432,951.5157179197432,290.7342820802568,1,pressure_servo_20250708_145013.db3_export,0.05
3.536,953.677240221398,951.7319231438152,290.5022165240876,0,pressure_servo_20250708_145013.db3_export,0.05
3.586,953.7342820802568,951.7028462407702,290.2971537592297,1,pressure_servo_20250708_145013.db3_export,0.05
3.636,953.733031405859,951.498891737956,290.26807685618473,0,pressure_servo_20250708_145013.db3_export,0.05
3.686,953.5,951.2814358394864,290.48428208025683,1,pressure_servo_20250708_145013.db3_export,0.05
3.736,953.2658603320972,951.1794567454856,290.6466278192476,0,pressure_servo_20250708_145013.db3_export,0.05
3.786,953.25,951.2499999999998,290.5314358394864,1,pressure_servo_20250708_145013.db3_export,0.05
3.836,952.6201624956316,951.3238680406456,290.59821638682297,0,pressure_servo_20250708_145013.db3_export,0.05
3.886,944.2922724622528,951.2657179197432,291.91163934510706,1,pressure_servo_20250708_145013.db3_export,0.05
3.936,902.8524216164924,951.2647520700532,296.7523198220459,0,pressure_servo_20250708_145013.db3_export,0.05
3.986,811.357902767246,951.4685641605132,307.13169022151226,1,pressure_servo_20250708_145013.db3_export,0.05
4.036,708.8505179294739,951.554682922417,321.79567571690103,0,pressure_servo_20250708_145013.db3_export,0.05
4.086,637.0288835570047,951.25,338.1983860930955,1,pressure_servo_20250708_145013.db3_export,0.05
4.136,593.6158996515874,950.9453170775828,351.57608895715424,0,pressure_servo_20250708_145013.db3_export,0.05
4.186,566.7633804430245,951.0314358394862,358.18118145746064,1,pressure_servo_20250708_145013.db3_export,0.05
4.236,549.0530629029564,951.2363561919904,360.6794158926799,0,pressure_servo_20250708_145013.db3_export,0.05
4.286,536.3173318266477,951.25,362.3428208025677,1,pressure_servo_20250708_145013.db3_export,0.05
4.336,526.8577383913544,951.2647520700532,363.3346394163866,0,pressure_servo_20250708_145013.db3_export,0.05
4.386,519.8929479935805,951.4842820802568,363.2185641605135,1,pressure_servo_20250708_145013.db3_export,0.05
4.436,514.4763484148094,951.6455195572038,362.9737129556457,0,pressure_servo_20250708_145013.db3_export,0.05
4.486,509.8285895987161,951.5157179197432,363.5157179197432,1,pressure_servo_20250708_145013.db3_export,0.05
4.536,505.5077578343067,951.4431005534952,364.1049327966591,0,pressure_servo_20250708_145013.db3_export,0.05
4.586,501.2814358394864,951.7342820802568,363.8585387223109,1,pressure_servo_20250708_145013.db3_export,0.05
4.636,497.1883228418361,951.966062811718,363.0841870625238,0,pressure_servo_20250708_145013.db3_export,0.05
4.686,493.3757433579458,951.7342820802568,362.32858959871606,1,pressure_servo_20250708_145013.db3_export,0.05
4.736,490.04612807076376,951.4442088155388,361.861130015059,0,pressure_servo_20250708_145013.db3_export,0.05
4.786,487.32858959871606,951.5314358394864,361.7657179197432,1,pressure_servo_20250708_145013.db3_export,0.05
4.836,484.91802946156383,951.7352479299466,361.73413966790287,0,pressure_servo_20250708_145013.db3_export,0.05
4.886,482.5157179197432,951.7342820802568,361.4842820802568,1,pressure_servo_20250708_145013.db3_export,0.05
4.936,480.1805650075295,951.676131959354,361.1761319593543,0,pressure_servo_20250708_145013.db3_export,0.05
4.986,478.0314358394865,951.75,361.0,1,pressure_servo_20250708_145013.db3_export,0.05
5.036,476.0011082620438,951.8227597786016,360.8238680406457,0,pressure_servo_20250708_145013.db3_export,0.05
5.086,473.9842820802567,951.7499999999998,360.5157179197432,1,pressure_servo_20250708_145013.db3_export,0.05
5.136,471.9135964133885,951.676131959354,360.2702933802724,0,pressure_servo_20250708_145013.db3_export,0.05
5.186,469.7971537592296,951.7342820802568,360.2971537592297,1,pressure_servo_20250708_145013.db3_export,0.05
5.236,467.8611300150591,951.7341396679028,360.5044330481752,0,pressure_servo_20250708_145013.db3_export,0.05
5.286,466.2971537592297,951.5157179197432,360.7657179197432,1,pressure_servo_20250708_145013.db3_export,0.05
5.336,464.9147046754324,951.3578052289274,361.088620110699,0,pressure_servo_20250708_145013.db3_export,0.05
5.386,463.5,951.5314358394864,361.4842820802567,1,pressure_servo_20250708_145013.db3_export,0.05
5.436,462.08972837274285,951.8205432545144,361.82165151655806,0,pressure_servo_20250708_145013.db3_export,0.05
5.486,460.7657179197432,951.9371283210272,362.0,1,pressure_servo_20250708_145013.db3_export,0.05
5.536,459.5022165240876,951.8205432545144,362.17945674548565,0,pressure_servo_20250708_145013.db3_export,0.05
5.586,458.2657179197431,951.5314358394864,362.5314358394864,1,pressure_servo_20250708_145013.db3_export,0.05
