t_sec,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,imputed,trial_id,smoothed_sigma_s
3.236,0.0,-1.1109766207690289e-23,1.1017520451923712,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
3.286,0.0,-1.4953753748763525e-23,1.4829590891479711,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
3.336,0.0,-1.5811463304411764e-23,1.5680178779154936,0.0,0.0,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
3.386,0.0068593420253723,-1.581146330441176e-23,1.568017877915494,0.0,-0.0064132795951441,0.0,0,pressure_servo_20250708_145013.db3_export,0.05
3.436,0.0905430442229988,-1.4953753748763522e-23,1.4829590891479714,-3.575901076377806e-22,-0.0846817848093976,-1.6245813410237648e+26,0,pressure_servo_20250708_145013.db3_export,0.05
3.486,0.4666296341429535,-1.1109766207690289e-23,1.1017520451923717,-4.713929434342348e-21,-0.4366435346822887,-1.9791452375693567e+27,0,pressure_servo_20250708_145013.db3_export,0.05
3.536,1.0921991180304738,-4.772102184416564e-24,0.479106970553873,-121521.5005340356,-1.0230319960017384,-8.869913579826218e+27,0,pressure_servo_20250708_145013.db3_export,0.05
3.586,1.485434353115002,-9.281221627052922e-25,0.1693426734763386,-1480434.9463693448,-1.393010377090384,-1.4624015188331405e+28,0,pressure_servo_20250708_145013.db3_export,0.05
3.636,1.592953562158508,-7.050421163895545e-26,0.4049643915427173,-6634849.118645163,-1.4936941146527456,-8.869913579826218e+27,0,pressure_servo_20250708_145013.db3_export,0.05
3.686,1.6201936334971998,-5.021471809451256e-28,0.9289218459575632,-10939016.870617373,-1.5170658140819897,-1.9791452375693567e+27,0,pressure_servo_20250708_145013.db3_export,0.05
3.736,1.6316631857842598,-1.087406017681328e-27,1.254647708774388,-6634849.121206101,-1.5267304235166608,-1.6245718118728332e+26,0,pressure_servo_20250708_145013.db3_export,0.05
3.786,1.6354984999220346,-1.0873702691718948e-27,1.3296758751233737,-1480434.9499038728,-1.5304035520208992,1.1608882367457565e+22,0,pressure_servo_20250708_145013.db3_export,0.05
3.836,1.6362501618198335,-5.020504125470954e-28,1.3365424677384492,910961494.6490712,-1.5312503319222772,5.202740122509136e+22,0,pressure_servo_20250708_145013.db3_export,0.05
3.886,1.636338231332526,7.818014202651469e-12,1.3367166658443248,-5.524890900595125e+22,-1.5314625532489632,8.577868305913206e+22,0,pressure_servo_20250708_145013.db3_export,0.05
3.936,1.6359886213443726,1.0306092501114696e-10,1.3364264778912562,-7.283184093065046e+23,-1.5318116208217192,5.202740122525829e+22,0,pressure_servo_20250708_145013.db3_export,0.05
3.986,1.6343732702102756,-5.751872522817528e+17,1.3350536473836343,-3.689557723375576e+24,-1.533272204836311,1.160888236757252e+22,0,pressure_servo_20250708_145013.db3_export,0.05
4.036,1.6310836063149752,-4.18473049654852e+29,1.332433281638619,-7.989836519275311e+24,-1.5360466603475698,9.529150931837094e+20,0,pressure_servo_20250708_145013.db3_export,0.05
4.086,1.6255416904667002,-5.516518449731282e+30,1.3287832391167378,-7.98983651927535e+24,-1.5395481823764117,2144759360.5390208,0,pressure_servo_20250708_145013.db3_export,0.05
4.136,1.6156950944459387,1.0326051184675703e+32,1.3233198015407954,-3.689557723375657e+24,-1.5444141829623206,-7.46837935448964e-09,0,pressure_servo_20250708_145013.db3_export,0.05
4.186,1.6046634932982609,1.800735015315207e+33,1.3178046064305806,-7.283184093065544e+23,-1.5492790740268827,-1.4822249542223272e-13,0,pressure_servo_20250708_145013.db3_export,0.05
